title,singers,directors,lyricist,genre,album,download_link,poster,year
Dumadam Mast Kalandar,"['Sardar Ali', ' Sanj V', ' Shahzad Ali', ' Gurcharan Singh - II']",['Jaidev Kumar'],['Kumaar'],"['Filmi', ' Sufi/Qawwali']",Code Name: Tiranga,https://www.youtube.com/watch?v=YGHD6CDtJ70,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/8a/ab/44/8aab44a2-5d8b-16b1-0213-d6417a3681ed/8902894361750_cover.jpg/200x200.jpg,2022
Vande Mataram,['Shankar Mahadevan'],['Vipin Patwa'],['Kumaar'],"['Filmi', ' Sugam']",Code Name: Tiranga,https://www.youtube.com/watch?v=Lz1kmygdyCk,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/8a/ab/44/8aab44a2-5d8b-16b1-0213-d6417a3681ed/8902894361750_cover.jpg/200x200.jpg,2022
Mera Yaar Ve,['Arijit Singh'],['Vipin Patwa'],['Kumaar'],"['Filmi', ' Punjabi Folk']",Code Name: Tiranga,https://www.youtube.com/watch?v=LVtKTjRT5iw,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/8a/ab/44/8aab44a2-5d8b-16b1-0213-d6417a3681ed/8902894361750_cover.jpg/200x200.jpg,2022
O Saathiya Saathiya Tere Bin Jiya Kya Jiya,"[""Nikhil D'Souza"", ' Zahrah S. Khan']",['Tanishk Bagchi'],['Tanishk Bagchi'],"['Filmi', ' Pop', ' Electronic']",Cuttputlli,https://www.youtube.com/watch?v=X0Akv2AYvbw,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/7c/d1/47/7cd14795-b1f2-4bbc-3f8e-c4318df188a2/840214451935.png/200x200.jpg,2022
Rabba Bachaye Mujhe,['Sukhwinder Singh'],"['Dr. Zeus', ' Omar Malik']",['Omar Malik'],"['Filmi', ' Pop']",Cuttputlli,https://www.youtube.com/watch?v=Wt9SQJPyfxw,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/7c/d1/47/7cd14795-b1f2-4bbc-3f8e-c4318df188a2/840214451935.png/200x200.jpg,2022
Tu Dis Da,['Hamid Ali Naqeebi'],"['Dr. Zeus', ' Hamid Ali Naqeebi']",['Hamid Ali Naqeebi'],"['Filmi', ' Punjabi Folk', ' Sufi/Qawwali']",Cuttputlli,https://www.youtube.com/watch?v=_8JiKTGsiP4,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/7c/d1/47/7cd14795-b1f2-4bbc-3f8e-c4318df188a2/840214451935.png/200x200.jpg,2022
Laapata,"['Payal Dev', ' Dev Negi']",['Aditya Dev'],['Rashmi Virag'],"['Filmi', ' Pop']",Cuttputlli,https://www.youtube.com/watch?v=8-PzQMMhRy0,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/7c/d1/47/7cd14795-b1f2-4bbc-3f8e-c4318df188a2/840214451935.png/200x200.jpg,2022
Dil Hamara La Ilaaj Hai,['Arijit Singh'],['Vishal Bhardwaj'],['Gulzar'],['Filmi'],Darlings,https://www.youtube.com/watch?v=X7cWyX-N_vw,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/15/9c/e3/159ce3e1-1be8-3b2f-8321-7aefafd4dee7/840214447389.png/200x200.jpg,2022
Bhasad,['Mellow D'],['Mellow D'],['Mellow D'],"['Filmi', ' Pop', ' Hip-hop']",Darlings,https://www.youtube.com/watch?v=DtQCKJIOB2k,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/15/9c/e3/159ce3e1-1be8-3b2f-8321-7aefafd4dee7/840214447389.png/200x200.jpg,2022
I Loves You Pleaj,['Mika Singh'],['Vishal Bhardwaj'],['Gulzar'],"['Filmi', ' Classic Pop', ' Jazz']",Darlings,https://www.youtube.com/watch?v=TogDxQzgIS4,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/15/9c/e3/159ce3e1-1be8-3b2f-8321-7aefafd4dee7/840214447389.png/200x200.jpg,2022
Macha Macha Re,"['Mika Singh', ' Divya Kumar', ' Mellow D']",['Sachin - Jigar'],['Amitabh Bhattacharya'],"['Filmi', ' Hip-hop']",Dasvi,https://www.youtube.com/watch?v=NiZ0NiTWjYU,https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/c0/cd/83/c0cd8313-5548-22b8-0066-58c23dd11658/840214433801.png/200x200.jpg,2022
Ghani Trip Mein Chaudhari,"['Mellow D', ' Kirti Sagathiya']",['Sachin - Jigar'],['Ashish Pandit'],"['Filmi', ' Other']",Dasvi,https://www.youtube.com/watch?v=PLTmettMwkk,https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/c0/cd/83/c0cd8313-5548-22b8-0066-58c23dd11658/840214433801.png/200x200.jpg,2022
Hai Thaan Liya Humne,"['Sukhwinder Singh', ' Tanishka Sanghvi']",['Sachin - Jigar'],['Ashish Pandit'],['Filmi'],Dasvi,https://www.youtube.com/watch?v=M7ub-Fg92Zk,https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/c0/cd/83/c0cd8313-5548-22b8-0066-58c23dd11658/840214433801.png/200x200.jpg,2022
Maara Man Hoyo Nakhralo (Kasturi Si Saundhi Saundhi),['Mame Khan'],['Sachin - Jigar'],['Ashish Pandit'],"['Filmi', ' Other']",Dasvi,https://www.youtube.com/watch?v=3cu9HLVaKIM,https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/c0/cd/83/c0cd8313-5548-22b8-0066-58c23dd11658/840214433801.png/200x200.jpg,2022
Dayein Bayein,"['Muhfaad', ' Flamboy']","['Muhfaad', ' Flamboy']","['Muhfaad', ' Flamboy']",['Hip-hop'],Dayein Bayein,https://www.youtube.com/watch?v=uIFWkP52mFI,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/1e/2d/da/1e2ddadb-9743-47aa-4fe3-1ab5722c95d7/22UM1IM14083.rgb.jpg/200x200.jpg,2022
